Country Name,Year,Exports,FDI,GDP,Imports,Tariff_Rate,Trade_Balance,GDP_bil,FDI_bil,TB_bil
South Africa,1995,34402137132.153,1245489078.61653,171735933897.331,33374909767.5225,,1027227364.6305008,171.735933897331,1.24548907861653,1.0272273646305008
South Africa,1996,35495118245.5535,231585202.261455,163234925380.563,33302879567.9273,8.27,2192238677.626198,163.234925380563,0.231585202261455,2.192238677626198
South Africa,1997,36561083234.6058,-1486940324.83234,168978057327.73,34850876204.3011,5.99,1710207030.3046951,168.97805732773,-1.48694032483234,1.7102070303046952
South Africa,1998,34594731512.5752,1083666643.24806,152982984557.233,32865066160.0459,,1729665352.5293045,152.982984557233,1.08366664324806,1.7296653525293044
South Africa,1999,33743869641.6984,80850625.994043,151516957078.536,30284129639.5819,5.47,3459740002.116497,151.51695707853602,0.080850625994043,3.4597400021164972
South Africa,2000,36995346355.1396,-691652738.562767,151752757215.309,33074962281.1489,5.27,3920384073.9907036,151.752757215309,-0.691652738562767,3.9203840739907037
South Africa,2001,35908902855.2168,-10785077715.7127,135429905922.526,31041097905.2332,5.1,4867804949.983597,135.429905922526,-10.7850777157127,4.867804949983597
South Africa,2002,36882385813.7096,-1882067009.93899,129087556612.449,32520032938.6103,4.95,4362352875.099304,129.087556612449,-1.88206700993899,4.362352875099305
South Africa,2003,47358893128.4732,-230592460.043332,197018965308.697,43312326509.8666,5.15,4046566618.606598,197.01896530869698,-0.230592460043332,4.046566618606598
South Africa,2004,58436025841.5874,604002318.590682,255806908594.573,58846394250.2394,5.29,-410368408.6520004,255.806908594573,0.604002318590682,-0.4103684086520004
South Africa,2005,68089718597.9658,-5612683802.59415,288867217196.534,68723060501.4174,5.64,-633341903.4516068,288.867217196534,-5.61268380259415,-0.6333419034516068
South Africa,2006,78999267955.2245,5305504770.99522,303858675363.643,83633397767.7606,5.29,-4634129812.536102,303.858675363643,5.3055047709952206,-4.634129812536102
South Africa,2007,93316159614.4785,-3604679768.72682,333077117253.684,97315205908.8365,4.81,-3999046294.3580017,333.07711725368404,-3.60467976872682,-3.999046294358002
South Africa,2008,102840415596.341,-12004584137.9272,316131258616.309,107770934448.304,3.9,-4930518851.962997,316.131258616309,-12.0045841379272,-4.930518851962997
South Africa,2009,83531696820.7001,-6313190334.478,329754060647.129,82010756673.2621,4.32,1520940147.4380035,329.75406064712905,-6.313190334478,1.5209401474380035
South Africa,2010,107953656098.772,-3854564952.41313,417363822801.713,102974145513.292,4.59,4979510585.479996,417.363822801713,-3.85456495241313,4.9795105854799955
South Africa,2011,126935038374.302,-4292687424.33412,458199494830.834,123357998501.949,4.39,3577039872.352997,458.199494830834,-4.29268742433412,3.577039872352997
South Africa,2012,117934929474.945,-1727159492.43131,434400545085.811,123559478013.303,4.22,-5624548538.357986,434.40054508581096,-1.7271594924313098,-5.6245485383579865
